company_number,company_name,postcode,address,sic,account_category,incorporation_date,group
11151392,HOPKIN SERVICES LIMITED,SL9 8BQ,"C/O ATLAS ACCOUNTANCY LTD, SUITE 7, EUROPA HOUSE / 11 MARSHAM WAY / GERRARDS CROSS",96090 - Other service activities n.e.c.,MICRO ENTITY,16/01/2018,small
15538640,SZYBKI CHRUPEK LTD,PE1 2ND,282 LINCOLN ROAD / PETERBOROUGH,49410 - Freight transport by road,MICRO ENTITY,04/03/2024,small
11477238,ASP RECRUIT LTD,DN16 1NR,4 ASHBY ROAD / SCUNTHORPE,94110 - Activities of business and employers membership organizations,MICRO ENTITY,23/07/2018,small
15615169,UGLYOGA LIMITED,SK6 6ND,55 BOWDEN LANE / MARPLE / STOCKPORT,96040 - Physical well-being activities,MICRO ENTITY,04/04/2024,small
10607320,ACCESS MEDIA & EVENTS GROUP LTD,E14 9XL,16 BEAUFORT COURT ADMIRALS WAY / DOCKLANDS / LONDON,73120 - Media representation services,MICRO ENTITY,08/02/2017,small
07883383,NAKED LUNCH LIMITED,OX26 6QB,5 MINTON PLACE / VICTORIA ROAD / BICESTER,93290 - Other amusement and recreation activities n.e.c.,MICRO ENTITY,15/12/2011,small
14095377,K&R MOBILE DISCO LIMITED,SA18 1TE,25 PARK LANE / LOWER BRYNAMMAN / AMMANFORD,90010 - Performing arts,MICRO ENTITY,09/05/2022,small
15006473,PETRA PROPERTY HOLDINGS LIMITED,CF14 8LH,15006473 - COMPANIES HOUSE DEFAULT ADDRESS / CARDIFF,68100 - Buying and selling of own real estate,MICRO ENTITY,17/07/2023,small
06587604,TWENTYTWO COMMUNICATIONS LIMITED,KT4 8DL,29 LEWISTON CLOSE / WORCESTER PARK,74100 - specialised design activities,MICRO ENTITY,08/05/2008,small
14501833,JUICED MECHANICAL & ELECTRICAL LTD,EC2A 4NE,86-90 PAUL STREET / LONDON,43210 - Electrical installation,MICRO ENTITY,23/11/2022,small
04327677,ORANGE CIRCLE LIMITED,OX9 2QA,14 ARNOLD WAY / THAME,68209 - Other letting and operating of own or leased real estate,MICRO ENTITY,23/11/2001,small
OC419289,MICHAEL COLLINS ARCHITECT LLP,SG5 1NQ,99 BANCROFT / HITCHIN,None Supplied,MICRO ENTITY,02/10/2017,small
SC572261,PROPSCOT LTD,EH7 4HD,40 LOGIE GREEN ROAD / EDINBURGH,82990 - Other business support service activities n.e.c.,MICRO ENTITY,27/07/2017,small
09125171,NATURALLY CANINE LTD,BA6 8UB,3 HOLM OAKS / BUTLEIGH / GLASTONBURY,10920 - Manufacture of prepared pet foods,MICRO ENTITY,10/07/2014,small
02782367,JAVISION LTD.,GU18 5SW,21 HERONSCOURT / LIGHTWATER / SURREY,62090 - Other information technology service activities,MICRO ENTITY,22/01/1993,small
13932732,MASH GENERAL TRADING LTD,HA1 2TP,211 STATION ROAD / HARROW,"46380 - Wholesale of other food, including fish, crustaceans and molluscs",MICRO ENTITY,22/02/2022,small
09170104,JUST LAWNS LTD,PE37 7QH,24 MARKET PLACE / SWAFFHAM,81300 - Landscape service activities,MICRO ENTITY,11/08/2014,small
SC705409,NEWMOONCRYSTAL LTD,G74 1LF,117-119 STRATHMORE HOUSE / EAST KILBRIDE / GLASGOW,47910 - Retail sale via mail order houses or via Internet,MICRO ENTITY,30/07/2021,small
10390756,COBRA IT CONSULTANCY LTD,LS29 7EJ,50 LANGFORD LANE / BURLEY IN WHARFEDALE / ILKLEY,62020 - Information technology consultancy activities,MICRO ENTITY,22/09/2016,small
10428843,LUX HAIR LTD,SO31 9HT,73 GREENAWAY LANE / WARSASH / SOUTHAMPTON,96020 - Hairdressing and other beauty treatment,MICRO ENTITY,14/10/2016,small
15490956,MEDFIX CLINIC LTD,BD7 1ND,42 LEGRAMS LANE / BRADFORD,86220 - Specialists medical practice activities,MICRO ENTITY,14/02/2024,small
12305828,EAST CHOCOLATE LTD,E9 7EF,6B SOUTHBOROUGH ROAD / LONDON,10821 - Manufacture of cocoa and chocolate confectionery,MICRO ENTITY,08/11/2019,small
14345865,TROJAN HOUSEHOLD CLEARANCE LTD,RH13 5TY,2 LINTOTT GARDENS / HORSHAM,38110 - Collection of non-hazardous waste,MICRO ENTITY,08/09/2022,small
